>NZ_HG994851.1 Escherichia coli isolate 127 chromosome main, complete sequence
>NZ_CP027462.1 Escherichia coli isolate 07-4299 chromosome, complete genome
>NZ_CP053736.1 Escherichia coli strain CP8-3_Sichuan chromosome, complete genome
>NZ_CP064682.1 Escherichia coli K-12 strain BZKR2G40 chromosome, complete genome
>NZ_CP068830.1 Escherichia coli strain RIVM_C018707 chromosome, complete genome
>NZ_CP116931.1 Escherichia coli strain MLI106K1 chromosome, complete genome
>NZ_CP103570.1 Escherichia coli strain 3045 chromosome, complete genome
>NZ_CP051711.1 Escherichia coli strain SCU-123 chromosome, complete genome
>NZ_CP090212.1 Escherichia coli strain BY68 chromosome, complete genome
>NZ_AP024205.1 Escherichia coli strain TA8571 chromosome, complete genome
>NZ_CP032801.1 Escherichia coli strain ERL06-2442 chromosome, complete genome
>NZ_CP075061.1 Escherichia coli strain TCM_B_2 chromosome, complete genome
>NZ_CP082085.1 Escherichia coli strain MS20653 chromosome, complete genome
>NZ_AP022171.1 Escherichia coli strain WP5-S18-ESBL-09 chromosome, complete genome
>NZ_CP121087.1 Escherichia coli strain ST3 chromosome, complete genome
>NZ_CP010119.1 Escherichia coli strain C3 chromosome, complete genome
>NZ_CP050498.1 Escherichia coli strain RM13322 chromosome, complete genome
>NZ_CP031353.1 Escherichia coli O145 strain RM9154-C1 chromosome, complete genome
>NZ_CP138407.1 Escherichia coli strain 50EVAW chromosome, complete genome
>NZ_LR883006.1 Escherichia coli isolate L5_E1779_ETEC chromosome 1, complete sequence
>NZ_CP135502.1 Escherichia coli strain isolateA chromosome, complete genome
>NZ_CP028192.1 Escherichia coli strain CFSAN018748 chromosome, complete genome
>NZ_CP023359.1 Escherichia coli strain 1943 chromosome, complete genome
>NZ_AP024582.1 Escherichia coli strain Ec387 chromosome, complete genome
>NZ_CP135204.1 Escherichia coli strain Escherichia coli AZ1114 chromosome, complete genome
>NZ_CP035846.1 Escherichia coli strain TW10598 chromosome, complete genome
>NZ_AP022261.1 Escherichia coli strain WP8-S18-ESBL-07 chromosome, complete genome
>NZ_CP116085.1 Escherichia coli strain DETEC-S566 chromosome, complete genome
>NZ_CP135697.1 Escherichia coli strain TUM2367 chromosome, complete genome
>NZ_CP050646.1 Escherichia coli strain PapM-36-2 chromosome, complete genome
>NZ_CP037941.1 Escherichia coli strain CFSAN027350 chromosome, complete genome
>NZ_CP019361.1 Escherichia coli strain XH993 chromosome, complete genome
>NZ_CP038313.1 Escherichia coli O157:H7 strain OK1 chromosome, complete genome
>NZ_CP024127.1 Escherichia coli strain 14EC001 chromosome, complete genome
>NZ_CP059835.1 Escherichia coli strain tcmA_3 chromosome, complete genome
>NZ_CP075731.1 Escherichia coli strain CP52E chromosome, complete genome
>NZ_CP081706.1 Escherichia coli strain AH04 chromosome, complete genome
>NZ_CP014272.1 Escherichia coli K-12 strain K-12 C3026 chromosome, complete genome
>NZ_CP128916.1 Escherichia coli strain TUM13770 chromosome, complete genome
>NZ_CP074120.1 Escherichia coli strain EC16 chromosome, complete genome
>NZ_CP119008.1 Escherichia coli strain CE0011b chromosome, complete genome
>NZ_CP074028.1 Escherichia coli strain PK13 chromosome, complete genome
>NZ_CP142442.1 Escherichia coli strain Case 6 chromosome, complete genome
>NZ_CP067307.1 Escherichia coli strain ABW_A19 chromosome, complete genome
>NZ_CP068818.1 Escherichia coli strain RIVM_C028803 chromosome, complete genome
>NZ_CP117049.1 Escherichia coli strain MLI106K2 chromosome, complete genome
>NC_011741.1 Escherichia coli IAI1, complete sequence
>NZ_CP081762.1 Escherichia coli strain CX21 chromosome, complete genome
>NZ_CP016007.1 Escherichia coli strain NGF1 chromosome, complete genome
>NZ_LR890536.1 Escherichia coli strain MSB1_8B isolate MSB1_8B chromosome 1, complete sequence
>NZ_CP093239.1 Escherichia marmotae strain W49-2 chromosome, complete genome
>NZ_CP028772.1 Escherichia coli strain A2 chromosome, complete genome
>NZ_CP031347.1 Escherichia coli O145 strain RM9873-C1 chromosome, complete genome
>NZ_CP086340.1 Escherichia coli strain ESY003 chromosome, complete genome
>NZ_CP058571.1 Escherichia coli strain EC2 chromosome, complete genome
>NZ_CP046006.1 Escherichia coli strain 1919D3 chromosome, complete genome
>NZ_CP080120.1 Escherichia coli strain M24 chromosome, complete genome
>NZ_CP104521.1 Escherichia coli strain E5 chromosome, complete genome
>NZ_CP134376.1 Escherichia coli strain TUM12355 chromosome, complete genome
>NZ_CP073929.1 Escherichia coli strain MB64 chromosome, complete genome
>NZ_CP086544.1 Escherichia coli strain Ec-042-T0 chromosome, complete genome
>NZ_CP024147.1 Escherichia coli strain 14EC033 chromosome, complete genome
>NZ_CP118997.1 Escherichia coli strain CE0032f chromosome, complete genome
>NZ_CP018241.1 Escherichia coli strain 319 chromosome, complete genome
>NZ_CP062771.1 Escherichia coli O157:H7 strain Z570 chromosome, complete genome
>NZ_CP122507.1 Escherichia coli strain W444 chromosome, complete genome
>NZ_CP075472.1 Escherichia coli strain NT1F25 chromosome, complete genome
>NZ_CP074031.1 Escherichia coli strain PK12 chromosome, complete genome
>NZ_CP053720.1 Escherichia coli strain CP131_Sichuan chromosome, complete genome
>NZ_CP073976.1 Escherichia coli strain MB20 chromosome, complete genome
>NZ_CP097170.1 Escherichia coli strain AR13438 chromosome, complete genome
>NZ_CP080260.1 Escherichia coli strain 135 chromosome, complete genome
>NZ_OX460342.1 Escherichia coli strain EC0880B isolate EC0880B_C chromosome 1, complete sequence
>NZ_CP043414.1 Escherichia coli strain EC42405 chromosome, complete genome
>NZ_CP055259.1 Escherichia coli strain AH62 chromosome, complete genome
>NZ_CP093226.1 Escherichia coli strain EC-16-35 chromosome, complete genome
>NZ_CP043262.1 Escherichia albertii strain RM9976 chromosome, complete genome
>NZ_CP107003.1 Escherichia coli strain SY22B1 chromosome, complete genome
>NZ_CP103562.1 Escherichia coli O25b:H4-ST131 strain 751 chromosome, complete genome
>NZ_CP018239.1 Escherichia coli strain 272 chromosome, complete genome
>NZ_CP069633.1 Escherichia coli strain SSGw1 chromosome, complete genome
>NZ_AP026095.1 Escherichia coli strain 53_142304 chromosome, complete genome
>NZ_CP055675.1 Escherichia fergusonii strain RHB28-C13 chromosome, complete genome
>NZ_CP060919.1 Escherichia coli strain EC15 chromosome, complete genome
>NC_010468.1 Escherichia coli ATCC 8739, complete sequence
>NZ_AP026118.1 Escherichia coli strain CEC13004 chromosome, complete genome
>NZ_CP103755.1 Escherichia coli strain p11B chromosome, complete genome
>NZ_CP085637.1 Escherichia coli strain fECg99.1 chromosome, complete genome
>NZ_CP038428.1 Escherichia coli O157:H7 strain 611 chromosome, complete genome
>NZ_LR134222.1 Escherichia coli strain NCTC11129 chromosome 1, complete sequence
>NZ_AP019856.1 Escherichia coli O8:H8 strain 16F5M1D1 chromosome, complete genome
>NZ_CP086678.1 Escherichia coli strain EFF60 chromosome, complete genome
>NZ_OW967975.1 Escherichia coli isolate 10 chromosome main, complete sequence
>NZ_CP038351.1 Escherichia coli O157:H7 strain F8798 chromosome, complete genome
>NZ_CP123009.1 Escherichia coli O155 strain NWU_3 chromosome, complete genome
>NZ_AP022207.1 Escherichia coli strain WP7-S18-ESBL-09 chromosome, complete genome
>NZ_CP026361.1 Escherichia coli strain 1A chromosome, complete genome
>NZ_CP126952.1 Escherichia coli O78:H4 strain APEC E12049 chromosome, complete genome
>NZ_CP024239.1 Escherichia coli O15:H11 strain 90-9272 chromosome, complete genome
>NZ_CP062719.1 Escherichia coli O157:H7 strain Z1816 chromosome, complete genome
>NZ_CP053604.1 Escherichia coli strain NEB10-beta chromosome, complete genome
>NZ_CP069636.1 Escherichia coli strain SSGw2 chromosome, complete genome
>NZ_AP021944.1 Escherichia coli strain WP2-S18-ESBL-07 chromosome, complete genome
>NZ_CP076279.1 Escherichia coli strain SA53-3 chromosome, complete genome
>NZ_CP062763.1 Escherichia coli O157:H7 strain Z885 chromosome, complete genome
>NZ_CP081010.1 Escherichia coli strain 25POL chromosome, complete genome
>NZ_CP124740.1 Escherichia coli O157:H7 str. EDL933 chromosome, complete genome
>NZ_CP062711.1 Escherichia coli O157:H7 strain Z1831 chromosome, complete genome
>NZ_CP116188.1 Escherichia coli strain DETEC-E223 chromosome, complete genome
>NZ_CP116241.1 Escherichia coli strain 7.1994/NIST0056 chromosome, complete genome
>NZ_CP010137.1 Escherichia coli strain D2 chromosome, complete genome
>NZ_LR890508.1 Escherichia coli strain MSB1_9I isolate MSB1_9I chromosome 1, complete sequence
>NZ_CP070296.1 Escherichia albertii strain Sample 165 chromosome, complete genome
>NZ_AP021935.1 Escherichia coli strain WP2-W18-ESBL-10 chromosome, complete genome
>NZ_CP006027.1 Escherichia coli O145:H28 str. RM13514 chromosome, complete genome
>NZ_CP051688.1 Escherichia coli strain SCU-387 chromosome, complete genome
>NZ_CP098229.1 Escherichia coli strain XJ55 chromosome, complete genome
>NZ_CP103544.1 Escherichia coli strain 3036 chromosome, complete genome
>NZ_CP116181.1 Escherichia coli strain DETEC-E480 chromosome, complete genome
>NZ_CP041110.1 Escherichia coli strain ECCTRSRTH03 chromosome, complete genome
>NZ_CP015074.2 Escherichia coli strain Ecol_745 chromosome, complete genome
>NZ_CP085622.1 Escherichia coli strain EC71 chromosome, complete genome
>NC_020163.1 Escherichia coli APEC O78, complete sequence
>NZ_AP025741.1 Escherichia sp. 10290 chromosome, complete genome
>NZ_CP143627.1 Escherichia coli strain FJ_Ec_21 chromosome, complete genome
>NZ_CP069630.1 Escherichia coli strain ESM2.2 chromosome, complete genome
>NZ_CP076470.1 Escherichia coli strain DH5a chromosome, complete genome
>NZ_CP048367.1 Escherichia coli strain 164 chromosome, complete genome
>NZ_CP068283.1 Escherichia coli strain CY598 chromosome, complete genome
>NZ_AP026783.1 Escherichia coli strain IPCEC31 chromosome, complete genome
>NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
>NZ_CP087287.1 Escherichia coli strain APEC 16-1068 chromosome, complete genome
>NZ_CP025048.1 Escherichia coli strain SC516 chromosome, complete genome
>NZ_CP082327.1 Escherichia coli strain B2 chromosome, complete genome
>NZ_CP057657.1 Escherichia fergusonii strain RHB19-C05 chromosome, complete genome
>NZ_CP061764.1 Escherichia coli O19:H7 strain 730V1 chromosome, complete genome
>NZ_CP127297.1 Escherichia coli strain APEC20/16 chromosome, complete genome
>NZ_CP091682.1 Escherichia coli strain KKo003 chromosome, complete genome
>NZ_CP049112.1 Escherichia coli strain WF5-5-T2 chromosome, complete genome
>NZ_CP033250.1 Escherichia coli strain ECCHD184 chromosome, complete genome
>NZ_CP141581.1 Escherichia coli strain ECO-104 chromosome, complete genome
>NZ_CP122929.1 Escherichia coli strain ETEC1702 chromosome, complete genome
>NZ_CP119003.1 Escherichia coli strain CE0026a chromosome, complete genome
>NZ_CP038284.1 Escherichia coli O157:H7 strain YB14-1 chromosome, complete genome
>NZ_CP040443.1 Escherichia sp. E4742 chromosome, complete genome
>NZ_CP102244.1 Escherichia coli O7:H15 strain ST70 chromosome, complete genome
>NZ_CP035874.1 Escherichia coli strain B2C chromosome, complete genome
>NZ_CP042899.1 Escherichia coli strain CFSAN061763 chromosome, complete genome
>NZ_LR134092.1 Escherichia coli strain NCTC10444 chromosome 1, complete sequence
>NZ_CP065613.1 Escherichia coli strain FDAARGOS_944 chromosome, complete genome
>NZ_CP038423.1 Escherichia coli O157:H7 strain 7409 chromosome, complete genome
>NZ_AP022298.1 Escherichia coli strain BEC1-S17-ESBL-09 chromosome, complete genome
>NZ_CP010440.1 Escherichia coli K-12 strain K-12 MG1655 chromosome, complete genome
>NZ_CP019012.1 Escherichia coli strain Ecol_AZ161 chromosome, complete genome
>NZ_CP081306.1 Escherichia coli strain Ec1079 chromosome, complete genome
>NZ_CP043183.1 Escherichia coli O16:H48 strain PG20180172 chromosome, complete genome
>NZ_CP017249.1 Escherichia coli strain NADC 5570/86-24/6565 isolate mutant chromosome, complete genome
>NZ_AP026104.1 Escherichia coli strain CEC96047 chromosome, complete genome
>NZ_CP006632.1 Escherichia coli PCN033 chromosome, complete genome
>NZ_CP007265.1 Escherichia coli strain ST540 chromosome, complete genome
>NZ_CP032811.1 Escherichia coli strain ERL03-1416 chromosome, complete genome
>NZ_CP058209.1 Escherichia marmotae strain RHB24-C12 chromosome, complete genome
>NZ_CP128979.1 Escherichia coli strain TUM1881 chromosome, complete genome
>NZ_CP104665.1 Escherichia coli strain 2021CK-00607 chromosome, complete genome
>NZ_CP010219.1 Escherichia coli strain M18 chromosome, complete genome
>NZ_CP042585.1 Escherichia coli strain LD91-1 chromosome, complete genome
>NZ_CP039834.1 Escherichia coli O157:H7 strain MB41-1 chromosome, complete genome
>NZ_AP027436.1 Escherichia coli strain EC571 isolate EC571 chromosome, complete genome
>NZ_CP012625.1 Escherichia coli strain SF-468 chromosome, complete genome
>NZ_CP086480.1 Escherichia coli strain Ec-050-T20-MAC chromosome, complete genome
>NZ_CP058656.1 Escherichia coli strain WCHEC035125 chromosome, complete genome
>NZ_CP069133.1 Escherichia coli BW25113 substr. CHXR2G20 chromosome, complete genome
>NZ_CP068808.1 Escherichia coli strain RIVM_C018699 chromosome, complete genome
>NZ_CP080117.1 Escherichia coli strain OV24 chromosome, complete genome
>NZ_CP102061.1 Escherichia coli strain C31 chromosome, complete genome
>NZ_CP073968.1 Escherichia coli strain MB30 chromosome, complete genome
>NZ_CP064847.1 Escherichia coli strain 20 chromosome, complete genome
>NZ_CP049196.1 Escherichia coli strain E118 chromosome, complete genome
>NZ_CP041304.1 Escherichia coli strain MSHS 133 chromosome, complete genome
>NZ_CP056073.1 Escherichia coli strain EC50 chromosome, complete genome
>NZ_CP128939.1 Escherichia coli strain TUM9754 chromosome, complete genome
>NZ_CP139887.1 Escherichia coli strain ECO21 chromosome, complete genome
>NZ_CP027105.1 Escherichia coli strain RM14721 chromosome, complete genome
>NZ_CP079891.1 Escherichia fergusonii strain 5zf15-2-1 chromosome, complete genome
>NZ_CP013483.1 Escherichia coli strain Y5 chromosome, complete genome
>NZ_CP072322.1 Escherichia coli strain EC-JS426 chromosome, complete genome
>NZ_CP053731.1 Escherichia coli strain CP55_Sichuan chromosome, complete genome
>NZ_CP029057.1 Escherichia coli strain FORC_081 chromosome, complete genome
>NZ_CP142930.1 Escherichia coli strain B20123 chromosome, complete genome
>NZ_CP029327.1 Escherichia coli strain A37 chromosome, complete genome
>NZ_CP075627.1 Escherichia coli strain P15-385 chromosome, complete genome
>NZ_CP051751.1 Escherichia coli strain SCU-301 chromosome, complete genome
>NZ_CP038496.1 Escherichia coli O157:H7 strain TT12A chromosome, complete genome
>NZ_CP073988.1 Escherichia coli strain MB10 chromosome, complete genome
>NZ_CP063369.1 Escherichia coli strain 1409 chromosome, complete genome
>NZ_CP103972.1 Escherichia coli strain DLI.5a chromosome, complete genome
>NZ_CP024056.1 Escherichia coli strain SMN197SH3 chromosome, complete genome
>NZ_CP099874.1 Escherichia albertii strain 251_2_EW_B chromosome, complete genome
>NZ_CP028741.1 Escherichia coli strain A34 chromosome, complete genome
>NZ_CP048647.1 Escherichia coli strain GW-AmxH19 chromosome, complete genome
>NZ_CP141840.1 Escherichia coli strain LA3 chromosome, complete genome
>NZ_CP090448.1 Escherichia coli strain PT62 chromosome, complete genome
>NZ_CP069709.1 Escherichia coli strain EA7 chromosome, complete genome
>NZ_CP092532.1 Escherichia coli strain DS566-2 chromosome, complete genome
>NZ_CP024228.1 Escherichia coli O25:NM strain 2014EL-1343-2 chromosome, complete genome
>NZ_CP038287.1 Escherichia coli O157:H7 strain TX 376-2 chromosome, complete genome
>NZ_CP058661.1 Escherichia coli strain 005008 chromosome, complete genome
>NZ_CP137855.1 Escherichia fergusonii strain EF21023765 chromosome, complete genome
>NZ_CP028732.1 Escherichia coli strain H3 chromosome, complete genome
>NZ_CP128584.1 Escherichia coli strain VG48B2 chromosome, complete genome
>NZ_CP061337.1 Escherichia coli strain M11957 chromosome, complete genome
>NZ_CP086510.1 Escherichia coli strain Ec-050-T0 chromosome, complete genome
>NZ_CP047576.1 Escherichia coli strain 94EC chromosome, complete genome
>NZ_CP123963.1 Escherichia coli strain L6-21 chromosome, complete genome
>NZ_AP026090.1 Escherichia coli strain 26_141088 chromosome, complete genome
>NZ_CP123024.1 Escherichia coli strain 20-16 chromosome, complete genome
>NZ_CP092973.1 Escherichia coli strain WCHEC005215 chromosome, complete genome
>NZ_CP139853.1 Escherichia coli strain Nord122 chromosome, complete genome
>NZ_CP040572.1 Escherichia coli O157:H7 strain ECP17-46 chromosome, complete genome
>NZ_CP141093.1 Escherichia coli strain KE41 chromosome, complete genome
>NZ_AP022245.1 Escherichia coli strain WP8-S18-CRE-02 chromosome, complete genome
>NZ_OW968011.1 Escherichia coli isolate 58 chromosome main, complete sequence
>NZ_CP072686.1 Escherichia coli strain FP4 chromosome, complete genome
>NZ_CP141863.1 Escherichia coli strain numer 3 chromosome, complete genome
>NZ_CP045827.1 Escherichia coli strain AUSMDU00014361 chromosome, complete genome
